sample	donor	date	staining	file_name	genotype_id
aipt_160614	aipt	160614	CD14+CD16+CD206	aipt_160614_CD14+CD16+CD206.fcs	HPSI0513i-aipt_2
aipt_160614	aipt	160614	isotype	aipt_160614_isotype.fcs	HPSI0513i-aipt_2
aipt_200614	aipt	200614	CD14+CD16+CD206	aipt_200614_CD14+CD16+CD206.fcs	HPSI0513i-aipt_2
aipt_200614	aipt	200614	isotype	aipt_200614_isotype.fcs	HPSI0513i-aipt_2
auim_181114	auim	181114	CD14+CD16+CD206	auim_181114_CD14+CD16+CD206.fcs	HPSI0613i-auim_2
auim_181114	auim	181114	isotype	auim_181114_isotype.fcs	HPSI0613i-auim_2
auim_211114	auim	211114	CD14+CD16+CD206	auim_211114_CD14+CD16+CD206.fcs	HPSI0613i-auim_2
auim_211114	auim	211114	isotype	auim_211114_isotype.fcs	HPSI0613i-auim_2
babk_161214	babk	161214	CD14+CD16+CD206	babk_161214_CD14+CD16+CD206.fcs	HPSI1213i-babk_2
babk_161214	babk	161214	isotype	babk_161214_isotype.fcs	HPSI1213i-babk_2
babk_271115	babk	271115	CD14+CD16+CD206	babk_271115_CD14+CD16+CD206.fcs	HPSI1213i-babk_2
babk_271115	babk	271115	isotype	babk_271115_isotype.fcs	HPSI1213i-babk_2
bezi_050815	bezi	050815	CD14+CD16+CD206	bezi_050815_CD14+CD16+CD206.fcs	HPSI0114i-bezi_1
bezi_050815	bezi	050815	isotype	bezi_050815_isotype.fcs	HPSI0114i-bezi_1
bezi_210715	bezi	210715	CD14+CD16+CD206	bezi_210715_CD14+CD16+CD206.fcs	HPSI0114i-bezi_1
bezi_210715	bezi	210715	isotype	bezi_210715_isotype.fcs	HPSI0114i-bezi_1
bezi_300715	bezi	300715	CD14+CD16+CD206	bezi_300715_CD14+CD16+CD206.fcs	HPSI0114i-bezi_1
bezi_300715	bezi	300715	isotype	bezi_300715_isotype.fcs	HPSI0114i-bezi_1
bima_161214	bima	161214	CD14+CD16+CD206	bima_161214_CD14+CD16+CD206.fcs	HPSI1113i-bima_1
bima_161214	bima	161214	isotype	bima_161214_isotype.fcs	HPSI1113i-bima_1
bubh_130415	bubh	130415	CD14+CD16+CD206	bubh_130415_CD14+CD16+CD206.fcs	HPSI0314i-bubh_1
bubh_130415	bubh	130415	isotype	bubh_130415_isotype.fcs	HPSI0314i-bubh_1
bulb_161214	bulb	161214	CD14+CD16+CD206	bulb_161214_CD14+CD16+CD206.fcs	HPSI0913i-bulb_1
bulb_161214	bulb	161214	isotype	bulb_161214_isotype.fcs	HPSI0913i-bulb_1
cehw_181114	cehw	181114	CD14+CD16+CD206	cehw_181114_CD14+CD16+CD206.fcs	HPSI0513i-cehw_3
cehw_181114	cehw	181114	isotype	cehw_181114_isotype.fcs	HPSI0513i-cehw_3
cicb_230415	cicb	230415	CD14+CD16+CD206	cicb_230415_CD14+CD16+CD206.fcs	HPSI0713i-cicb_3
cicb_230415	cicb	230415	isotype	cicb_230415_isotype.fcs	HPSI0713i-cicb_3
coio_181114	coio	181114	CD14+CD16+CD206	coio_181114_CD14+CD16+CD206.fcs	HPSI0513i-coio_2
coio_181114	coio	181114	isotype	coio_181114_isotype.fcs	HPSI0513i-coio_2
coxy_280814	coxy	280814	CD14+CD16+CD206	coxy_280814_CD14+CD16+CD206.fcs	HPSI0413i-coxy_3
coxy_280814	coxy	280814	isotype	coxy_280814_isotype.fcs	HPSI0413i-coxy_3
coyi_031115	coyi	031115	CD14+CD16+CD206	coyi_031115_CD14+CD16+CD206.fcs	HPSI0913i-coyi_3
coyi_031115	coyi	031115	isotype	coyi_031115_isotype.fcs	HPSI0913i-coyi_3
cuau_291014	cuau	291014	CD14+CD16+CD206	cuau_291014_CD14+CD16+CD206.fcs	HPSI0513i-cuau_2
cuau_291014	cuau	291014	isotype	cuau_291014_isotype.fcs	HPSI0513i-cuau_2
cups_020415	cups	020415	CD14+CD16+CD206	cups_020415_CD14+CD16+CD206.fcs	HPSI1013i-cups_3
cups_020415	cups	020415	isotype	cups_020415_isotype.fcs	HPSI1013i-cups_3
cups_130415	cups	130415	CD14+CD16+CD206	cups_130415_CD14+CD16+CD206.fcs	HPSI1013i-cups_3
cups_130415	cups	130415	isotype	cups_130415_isotype.fcs	HPSI1013i-cups_3
darw_291014	darw	291014	CD14+CD16+CD206	darw_291014_CD14+CD16+CD206.fcs	HPSI0713i-darw_2
darw_291014	darw	291014	isotype	darw_291014_isotype.fcs	HPSI0713i-darw_2
debk_211114	debk	211114	CD14+CD16+CD206	debk_211114_CD14+CD16+CD206.fcs	HPSI0513i-debk_7
debk_211114	debk	211114	isotype	debk_211114_isotype.fcs	HPSI0513i-debk_7
debk_271114	debk	271114	CD14+CD16+CD206	debk_271114_CD14+CD16+CD206.fcs	HPSI0513i-debk_7
debk_271114	debk	271114	isotype	debk_271114_isotype.fcs	HPSI0513i-debk_7
diku_171115	diku	171115	CD14+CD16+CD206	diku_171115_CD14+CD16+CD206.fcs	HPSI0913i-diku_1
diku_171115	diku	171115	isotype	diku_171115_isotype.fcs	HPSI0913i-diku_1
eika_130415	eika	130415	CD14+CD16+CD206	eika_130415_CD14+CD16+CD206.fcs	HPSI0913i-eika_2
eika_130415	eika	130415	isotype	eika_130415_isotype.fcs	HPSI0913i-eika_2
eipl_050815	eipl	050815	CD14+CD16+CD206	eipl_050815_CD14+CD16+CD206.fcs	HPSI0114i-eipl_1
eipl_050815	eipl	050815	isotype	eipl_050815_isotype.fcs	HPSI0114i-eipl_1
eipl_300715	eipl	300715	CD14+CD16+CD206	eipl_300715_CD14+CD16+CD206.fcs	HPSI0114i-eipl_1
eipl_300715	eipl	300715	isotype	eipl_300715_isotype.fcs	HPSI0114i-eipl_1
eiwy_271115	eiwy	271115	CD14+CD16+CD206	eiwy_271115_CD14+CD16+CD206.fcs	HPSI0214i-eiwy_1
eiwy_271115	eiwy	271115	isotype	eiwy_271115_isotype.fcs	HPSI0214i-eiwy_1
eofe_041214	eofe	041214	CD14+CD16+CD206	eofe_041214_CD14+CD16+CD206.fcs	HPSI1113i-eofe_1
eofe_041214	eofe	041214	isotype	eofe_041214_isotype.fcs	HPSI1113i-eofe_1
eojr_050515	eojr	050515	CD14+CD16+CD206	eojr_050515_CD14+CD16+CD206.fcs	HPSI0613i-eojr_3
eojr_050515	eojr	050515	isotype	eojr_050515_isotype.fcs	HPSI0613i-eojr_3
euir_041214	euir	041214	CD14+CD16+CD206	euir_041214_CD14+CD16+CD206.fcs	HPSI0513i-euir_2
euir_041214	euir	041214	isotype	euir_041214_isotype.fcs	HPSI0513i-euir_2
fafq_161015	fafq	161015	CD14+CD16+CD206	fafq_161015_CD14+CD16+CD206.fcs	HPSI0314i-fafq_1
fafq_161015	fafq	161015	isotype	fafq_161015_isotype.fcs	HPSI0314i-fafq_1
febc_050815	febc	050815	CD14+CD16+CD206	febc_050815_CD14+CD16+CD206.fcs	HPSI0613i-febc_2
febc_050815	febc	050815	isotype	febc_050815_isotype.fcs	HPSI0613i-febc_2
ffdk_200514	ffdk	200514	CD14+CD16+CD206	ffdk_200514_CD14+CD16+CD206.fcs	HPSI0813i-ffdk_1
ffdk_200514	ffdk	200514	isotype	ffdk_200514_isotype.fcs	HPSI0813i-ffdk_1
ffdm_291014	ffdm	291014	CD14+CD16+CD206	ffdm_291014_CD14+CD16+CD206.fcs	HPSI0813i-ffdm_3
ffdm_291014	ffdm	291014	isotype	ffdm_291014_isotype.fcs	HPSI0813i-ffdm_3
fikt_031115	fikt	031115	CD14+CD16+CD206	fikt_031115_CD14+CD16+CD206.fcs	HPSI0114i-fikt_3
fikt_031115	fikt	031115	isotype	fikt_031115_isotype.fcs	HPSI0114i-fikt_3
